hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.3706,0.3842,0.5068,0.3406,0.3678,0.346,0.4469,0.3406,0.3569,0.3542,0.4114,0.3787,0.3815,0.3896
1,0.3542,0.3569,0.3951,0.3079,0.2943,0.2888,0.3869,0.3079,0.3215,0.3324,0.3978,0.3624,0.3787,0.376
2,0.3706,0.3406,0.4251,0.3515,0.3488,0.3324,0.3815,0.3515,0.3433,0.3515,0.3733,0.3597,0.3624,0.3597
3,0.3678,0.3406,0.4142,0.3488,0.3406,0.3433,0.3815,0.327,0.346,0.3569,0.3706,0.3542,0.3515,0.3706
4,0.3787,0.3542,0.4005,0.3351,0.3106,0.3351,0.3815,0.3433,0.3624,0.3488,0.3787,0.3597,0.3651,0.3733
5,0.376,0.3433,0.3842,0.3515,0.3188,0.3433,0.3597,0.3488,0.3297,0.3515,0.376,0.3597,0.3678,0.3706
6,0.3896,0.3787,0.4305,0.3488,0.3542,0.3351,0.4087,0.3569,0.3706,0.3651,0.4033,0.3869,0.4005,0.4087
7,0.3651,0.3924,0.4278,0.3624,0.3896,0.3488,0.3896,0.346,0.3733,0.3597,0.3678,0.3597,0.3787,0.3733
8,0.406,0.2807,0.4496,0.376,0.3842,0.3651,0.4196,0.3842,0.3896,0.3597,0.3896,0.3733,0.3815,0.3869
9,0.3787,0.3052,0.4632,0.3733,0.3896,0.3787,0.4114,0.3787,0.3869,0.3651,0.4005,0.3978,0.3951,0.3924
10,0.376,0.3243,0.436,0.3869,0.376,0.3433,0.3978,0.3706,0.3924,0.3678,0.3896,0.4005,0.3978,0.3733
11,0.3733,0.3025,0.4632,0.3842,0.3842,0.3733,0.406,0.3706,0.3733,0.3733,0.4033,0.3787,0.3924,0.3787
12,0.3978,0.3215,0.4687,0.3815,0.3924,0.3569,0.4332,0.3842,0.3815,0.3787,0.4196,0.3924,0.3951,0.4005
13,0.4142,0.3243,0.4469,0.376,0.3624,0.346,0.4305,0.3815,0.3787,0.3597,0.406,0.3896,0.3924,0.3896
14,0.3978,0.2997,0.4823,0.3815,0.3896,0.3815,0.4278,0.3869,0.3733,0.376,0.4305,0.3787,0.3951,0.3869
15,0.4005,0.3052,0.4114,0.3297,0.3678,0.3406,0.3951,0.3406,0.3651,0.3488,0.4223,0.3787,0.3924,0.376
16,0.3815,0.3324,0.4741,0.406,0.3869,0.3869,0.4005,0.3842,0.376,0.3706,0.4005,0.3787,0.3896,0.3951
17,0.3924,0.3515,0.4959,0.4114,0.406,0.3978,0.4223,0.3597,0.3815,0.3787,0.4087,0.3842,0.3869,0.3896
18,0.3733,0.3569,0.515,0.4332,0.4414,0.4142,0.4441,0.3869,0.4169,0.3842,0.3869,0.3787,0.3978,0.3978
19,0.4087,0.3651,0.5341,0.4741,0.4414,0.4387,0.455,0.4223,0.4196,0.4223,0.4387,0.4087,0.4169,0.4223
20,0.4033,0.3624,0.5477,0.4632,0.3924,0.4278,0.4877,0.4251,0.3787,0.4223,0.4223,0.4196,0.4033,0.4169
21,0.4087,0.4741,0.5831,0.4496,0.4332,0.4196,0.4768,0.4005,0.4142,0.406,0.4005,0.3815,0.4087,0.4005
22,0.3951,0.5041,0.5232,0.4523,0.436,0.4305,0.4441,0.4087,0.4005,0.406,0.376,0.3706,0.3924,0.3842
23,0.3787,0.4578,0.4578,0.3896,0.3815,0.3815,0.4033,0.3488,0.3624,0.3678,0.3815,0.3706,0.3787,0.3815
